name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Ring of Earth Elemental Command,Wondrous Item,Legendary,1,requires attunement,"This ring is linked to one of the four Elemental Planes. The GM chooses or randomly determines the linked plane. While wearing this ring, you have advantage on attack rolls against elementals from the linked plane, and they have disadvantage on attack rolls against you. In addition, you have access to properties based on the linked plane. The ring has 5 charges. It regains 1d4 + 1 expended charges daily at dawn. Spells cast from the ring have a save DC of 17. Ring of Earth Elemental Command. You can expend 2 of the ring's charges to cast dominate monster on an earth elemental. In addition, you can move in difficult terrain that is composed of rubble, rocks, or dirt as if it were normal terrain. You can also speak and understand Terran. If you help slay an earth elemental while attuned to the ring, you gain access to the following additional properties:  You have resistance to acid damage.
 You can move through solid earth or rock as if those areas were difficult terrain. If you end your turn there, you are shunted out to the nearest unoccupied space you last occupied.
 You can cast the following spells from the ring, expending the necessary number of charges: stone shape (2 charges), stoneskin (3 charges), or wall of stone (3 charges).",,5,,wondrous item;magic-item
Ring of Engagement,Other,Common,0,,Someone used this to get married,,,,other;magic-item
Ring of Evasion,Wondrous Item,Rare,1,requires attunement,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. When you fail a Dexterity saving throw while wearing it, you can use your reaction to expend 1 of its charges to succeed on that saving throw instead.",,3,,wondrous item;magic-item
Ring of Feather Falling,Wondrous Item,Rare,1,requires attunement,"When you fall while wearing this ring, you descend 60 feet per round and take no damage from falling.",,,,wondrous item;magic-item
Ring of Fire Elemental Command,Wondrous Item,Legendary,1,requires attunement,"This ring is linked to one of the four Elemental Planes. The GM chooses or randomly determines the linked plane.

While wearing this ring, you have advantage on attack rolls against the elementals, and they have disadvantage on attack rolls against you. In addition, you have access to properties based on the Elemental Plane.

The ring has 5 charges. It regains 1d4 + 1 expended charges daily at dawn. Spells cast from the ring have a save DC of 17.

You can expend 2 of the ring's charges to cast dominate monster on the elemental type. In addition, you have resistance to damage based on the type. You can also speak and understand Ignan.

If you help slay an elemental of that type while attuned to the ring, you gain access to the following additional properties:

You are immune to elemental damage of that type.

You can cast the following spells from the ring, expending the necessary number of charges: burning hands (1 charge), fireball (2 charges), and wall of fire (3 charges).",,5,,wondrous item;magic-item
Ring of Free Action,Wondrous Item,Rare,1,requires attunement,"While you wear this ring, difficult terrain doesn't cost you extra movement. In addition, magic can neither reduce your speed nor cause you to be paralyzed or restrained.",,,,wondrous item;magic-item
Ring of Invisibility,Wondrous Item,Legendary,1,requires attunement,"While wearing this ring, you can turn invisible as an action. Anything you are wearing or carrying is invisible with you. You remain invisible until the ring is removed, until you attack or cast a spell, or until you use a bonus action to become visible again.",,,,wondrous item;magic-item
Ring of Jumping,Wondrous Item,Uncommon,1,requires attunement,"While wearing this ring, you can cast the jump spell from it as a bonus action at will, but can target only yourself when you do so.",,,,wondrous item;magic-item
Ring of Keys,Other,Common,0,,A ring with 13 keys in all kind of shapes on it.,,,,other;magic-item
Ring of Mind Shielding,Wondrous Item,Uncommon,1,requires attunement,"While wearing this ring, you are immune to magic that allows other creatures to read your thoughts, determine whether you are lying, know your alignment, or know your creature type. Creatures can telepathically communicate with you only if you allow it.
You can use an action to cause the ring to become invisible until you use another action to make it visible, until you remove the ring, or until you die.If you die while wearing the ring, your soul enters it, unless it already houses a soul. You can remain in the ring or depart for the afterlife. As long as your soul is in the ring, you can telepathically communicate with any creature wearing it. A wearer can't prevent this telepathic communication.",,,,wondrous item;magic-item
Ring of Protection,Wondrous Item,Rare,1,requires attunement,You gain a +1 bonus to AC and saving throws while wearing this ring.,,,,wondrous item;magic-item
Ring of Regeneration,Wondrous Item,Very Rare,1,requires attunement,"While wearing this ring, you regain 1d6 hit points every 10 minutes, provided that you have at least 1 hit point. If you lose a body part, the ring causes the missing part to regrow and return to full functionality after 1d6 + 1 days if you have at least 1 hit point the whole time.",,,,wondrous item;magic-item
Ring of Resistance,Wondrous Item,Rare,1,requires attunement,"You have resistance to one damage type while wearing this ring. The gem in the ring indicates the type, which the GM chooses or determines randomly.d10Damage TypeGem
1AcidPearl
2ColdTourmaline
3FireGarnet
4ForceSapphire
5LightningCitrine
6NecroticJet
7PoisonAmethyst
8PsychicJade
9RadiantTopaz
10ThunderSpinel",,,,wondrous item;magic-item
Ring of Shooting Stars,Wondrous Item,Very Rare,1,requires attunement,"While wearing this ring in dim light or darkness, you can cast dancing lights and light from the ring at will. Casting either spell from the ring requires an action.  
 The ring has 6 charges for the following other properties. The ring regains 1d6 expended charges daily at dawn.  
 Faerie Fire. You can expend 1 charge as an action to cast faerie fire from the ring. 
 Ball Lightning. You can expend 2 charges as an action to create one to four 3-foot-diameter spheres of lightning. The more spheres you create, the less powerful each sphere is individually.  
 Each sphere appears in an unoccupied space you can see within 120 feet of you. The spheres last as long as you concentrate (as if concentrating on a spell), up to 1 minute. Each sphere sheds dim light in a 30-foot radius.  
 As a bonus action, you can move each sphere up to 30 feet, but no farther than 120 feet away from you. When a creature other than you comes within 5 feet of a sphere, the sphere discharges lightning at that creature and disappears. That creature must make a DC 15 Dexterity saving throw. On a failed save, the creature takes lightning damage based on the number of spheres you created.    Spheres Lightning Damage 
    4 2d4 
  3 2d6 
  2 5d4 
  1 4d12 
   Shooting Stars. You can expend 1 to 3 charges as an action. For every charge you expend, you launch a glowing mote of light from the ring at a point you can see within 60 feet of you. Each creature within a 15-foot cube originating from that point is showered in sparks and must make a DC 15 Dexterity saving throw, taking 5d4 fire damage on a failed save, or half as much damage on a successful one.",,6,,wondrous item;magic-item
Ring of Spell Storing,Wondrous Item,Rare,1,requires attunement,"This ring stores spells cast into it, holding them until the attuned wearer uses them. The ring can store up to 5 levels worth of spells at a time. When found, it contains 1d6 − 1 levels of stored spells chosen by the GM. 
Any creature can cast a spell of 1st through 5th level into the ring by touching the ring as the spell is cast. The spell has no effect, other than to be stored in the ring. If the ring can't hold the spell, the spell is expended without effect. The level of the slot used to cast the spell determines how much space it uses. 
While wearing this ring, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the ring is no longer stored in it, freeing up space.",,,,wondrous item;magic-item
Ring of Spell Turning,Wondrous Item,Legendary,1,requires attunement,"While wearing this ring, you have advantage on saving throws against any spell that targets only you (not in an area of effect). In addition, if you roll a 20 for the save and the spell is 7th level or lower, the spell has no effect on you and instead targets the caster, using the slot level, spell save DC, attack bonus, and spellcasting ability of the caster.",,,,wondrous item;magic-item
Ring of Swimming,Wondrous Item,Uncommon,0,,You have a swimming speed of 40 feet while wearing this ring.,,,,wondrous item;magic-item
Ring of Telekinesis,Wondrous Item,Very Rare,1,requires attunement,"While wearing this ring, you can cast the telekinesis spell at will, but you can target only objects that aren't being worn or carried.",,,,wondrous item;magic-item
Ring of Warmth,Wondrous Item,Uncommon,1,requires attunement,"While wearing this ring, you have resistance to cold damage. In addition, you and everything you wear and carry are unharmed by temperatures as low as −50 degrees Fahrenheit.",,,,wondrous item;magic-item
